2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
97,부산,동구,일신여학교 3.1운동 재현행사,문화예술,3.1.,일신여학교,대면,-,-,-,-,미정, - , - ,부산동구문화원,비영리법인,부산광역시 문화원 지원 및 육성에 관한 조례,,김영주,051-440-4062,,
98,부산,동구,차이나타운특구축제,문화예술,10월중,초량동 차이나타운 일대,혼합형,2004년도,-,165,-,165, - , - ,차이나타운특구축제추진위원회,위원회,부산광역시 동구 축제운영에 관한 조례,,김영주,051-440-4062,,
99,부산,영도구,영도다리축제,문화예술,10.13.~10.15.,아미르공원,대면,1993년도,-,413.5,-,413.5, - , - ,부산영도문화원,비영리법인,부산광역시 영도구 영도문화원 지원 조례,,신연진,051-419-4064,,
100,부산,영도구,영도 커피페스티벌,문화예술,11.3.~11.5.,아미르공원,대면,2019년도,-,200,-,200, - , - ,부산광역시 영도구,공공(시군구),부산광역시 영도구 영도문화원 지원 조례,,곽지향,051-419-6332,,
101,부산,부산진구,"전포커피축제
(구. 전포카페거리축제)",기타,10월중,전포카페거리 일원,혼합형,2017년도,-,100,-,100,"5,000",200,부산광역시 부산진구,공공(시군구),부산광역시 부산진구 축제 육성 및 지원에 관한 조례,,조무제,051-605-4524,,
102,부산,부산진구,서면메디컬스트리트 축제,기타,10월중,"서면메디컬스트리트 일원, 온라인플랫폼",혼합형,2011년도,-,65,30,95,"12,000","1,000",(사)서면메디컬스트리트 의료관광협의회                       ,사단법인,문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙,,송지원,051-605-4521,,
103,부산,부산진구,희망 드림 빛 축제,주민화합,"23년11월
~'24년2월",부산시민공원 일원,대면,2020년도,-,500,-,500,"55,000","5,000",부산광역시 부산진구,공공(시군구),부산광역시 부산진구 축제 육성 및 지원에 관한 조례,,조무제,051-605-4524,,
104,부산,동래구,동래 3.1만세운동기념행사,문화예술,3.29.,동래고등학교 등,대면,,-,-,-,미정, - , - ,부산동래문화원,비영리법인,지방문화원진흥법 제4조 제1항,,박혜정,051-550-4094,,
105,부산,동래구,동래읍성역사축제,전통역사,10.13.~10.15.,"동래읍성(북문), 
동래문화회관 등",대면,1995년도,-,584,-,584,"200,000", - ,"동래문화원, 동래읍성역사추진위원회",위원회,지방문화원진흥법 제4조 제1항,,박혜정,051-550-4094,,
106,부산,남구,UN평화축제,주민화합,"10월중
(2일간)",평화공원,대면,1997년도,-,242,-,242, - , - ,부산광역시 남구,공공(시군구),부산광역시 남구 축제 육성 및 운영에 관한 조례,,강경희,051-607-4064,,
107,부산,북구,구포장터 3.1만세운동기념행사,문화예술,3.29.,구포역 광장 등,대면,,-,-,-,미정, - , - ,부산북구문화원,비영리법인,부산광역시 문화원 지원 및 육성에 관한 조례,,박준호,051-309-4522,,
108,부산,북구,낙동강 구포나루 축제,기타,10.13.~10.15.,화명생태공원,대면,2011년도,-,470,-,470,"350,000", - ,부산광역시 북구,공공(시군구),문화예술진흥법 제7조,,박준호,051-309-4522,,
